video_id,publish_date,views,likes,dislikes,comments_disabled
id3360,2017-11-08,987,1,1,False
id6225,2014-03-07,2910,1,3,False
id5928,2017-11-21,2869,2,2,False
id5928,2017-11-21,3409,2,2,False
id5928,2017-11-21,3800,2,2,False
id5928,2017-11-21,4114,2,2,False
id5928,2017-11-21,4386,2,2,False
id3360,2017-11-08,1108,2,1,False
id3360,2017-11-08,1216,2,1,False
id5412,2015-04-02,4681,2,3,False
id5412,2015-04-02,4802,2,4,False
id5412,2015-04-02,4880,2,4,False
id5443,2018-01-31,11216,2,14,False
id5443,2018-01-31,12989,2,16,False
id4390,2017-11-16,920,3,1,False
id4390,2017-11-16,999,3,1,False
id4390,2017-11-16,1032,3,1,False
id2024,2017-11-10,917,3,1,False
id4876,2018-02-16,1143,3,15,False
id4876,2018-02-16,1319,3,15,False
id4876,2018-02-16,1427,3,15,False
id4876,2018-02-16,1464,3,15,False
id3782,2017-09-15,2075,4,1,False
id3681,2017-12-28,2612,4,2,False
id3681,2017-12-28,2841,4,3,False
id6225,2014-03-07,3333,4,3,False
id6225,2014-03-07,3456,4,4,False
id2598,2016-05-13,2860,4,3,False
id2598,2016-05-13,3215,4,4,False
id2598,2016-05-13,3312,4,4,False
id2598,2016-05-13,3362,4,4,False
id1682,2017-11-16,12953,5,2,False
id3782,2017-09-15,2331,5,1,False
id3782,2017-09-15,2587,5,1,False
id3681,2017-12-28,2954,5,3,False
id3681,2017-12-28,3079,5,3,False
id3205,2017-12-08,2785,6,3,False
id2380,2017-12-19,1495,6,1,False
id2380,2017-12-19,1550,6,1,False
id2380,2017-12-19,1593,6,1,False
id3782,2017-09-15,2681,6,1,False
id3782,2017-09-15,2721,6,1,False
id3915,2017-12-22,1807,6,3,False
id763,2018-01-12,3046,6,3,False
id1180,2017-12-09,7325,6,6,False
id2450,2017-11-13,945,7,5,False
id5895,2017-11-15,10838,7,42,False
id1682,2017-11-16,13659,7,2,False
id2496,2017-11-30,3052,7,39,True
id3205,2017-12-08,3033,7,3,False
id5494,2017-12-04,1573,7,1,False
id5494,2017-12-04,1638,7,1,False
id5900,2018-01-10,6982,7,1,False
id5900,2018-01-10,8300,7,1,False
id4195,2018-01-22,6064,7,23,False
id355,2017-11-21,1095,8,2,False
id3205,2017-12-08,3128,8,3,False
id3205,2017-12-08,3180,8,3,False
id1161,2017-12-27,4168,8,1,False
id633,2018-01-14,2514,8,1,False
id633,2018-01-14,2598,8,1,False
id2498,2017-12-16,2493,8,12,False
id2498,2017-12-16,2577,8,12,False
id2498,2017-12-16,2611,8,12,False
id4810,2017-12-16,2611,8,12,False
id2498,2017-12-16,2620,8,12,False
id4810,2017-12-16,2620,8,12,False
id5760,2018-01-16,810,9,5,True
id5760,2018-01-16,820,9,5,True
id5760,2018-01-16,835,9,5,True
id4695,2018-01-25,3519,9,2,False
id5895,2017-11-15,19800,10,102,False
id34,2017-11-13,704,10,2,False
id5895,2017-11-15,20292,10,102,False
id5895,2017-11-15,20464,10,103,False
id5895,2017-11-15,20541,10,103,False
id4750,2017-11-21,10720,10,6,False
id355,2017-11-21,1921,10,2,False
id286,2017-12-04,9387,10,1,False
id2521,2015-07-01,4321,10,3,False
id2521,2015-07-01,4593,10,3,False
id251,2017-11-13,6685,11,35,False
id251,2017-11-13,6743,11,35,False
id251,2017-11-13,6801,11,35,False
id355,2017-11-21,1638,11,2,False
id3020,2018-01-11,884,11,5,False
id3020,2018-01-11,934,11,5,False
id265,2018-01-13,4610,11,1,False
id5023,2018-01-24,1252,11,1,False
id2521,2015-07-01,4734,11,3,False
id4750,2017-11-21,11810,12,7,False
id355,2017-11-21,2047,12,2,False
id355,2017-11-21,2171,12,2,False
id355,2017-11-21,2232,12,3,False
id286,2017-12-04,9630,12,1,False
id3020,2018-01-11,967,12,5,False
id3020,2018-01-11,988,12,5,False
id2177,2013-03-22,4970,13,1,False
id2177,2013-03-22,5224,13,1,False
id2177,2013-03-22,5464,13,1,False
id5530,2017-11-28,1432,13,1,False
id4836,2017-12-04,2929,13,4,False
id286,2017-12-04,9818,13,1,False
id3499,2017-12-05,1774,14,5,False
id4195,2018-01-22,9441,14,47,False
id4195,2018-01-22,9637,14,47,False
id4195,2018-01-22,9762,14,47,False
id887,2017-11-15,1387,15,1,False
id4750,2017-11-21,12324,15,7,False
id4836,2017-12-04,3116,15,4,False
id4836,2017-12-04,3286,15,4,False
id219,2017-12-29,4576,15,2,False
id1768,2017-11-20,2178,15,2,False
id1768,2017-11-20,2264,15,2,False
id1768,2017-11-20,2332,15,2,False
id1768,2017-11-20,2384,15,2,False
id4720,2018-01-17,983,15,1,False
